;name;retentionRate;fullStreams;consistency;amortisedConsistency;mean;score
1346;Paul - Skit (Paul Rosenberg);1.0;12;0.009036144578313253;0.017341040462427744;0.036036036036036036;3.2254569216046187e-06
1347;Paulo Coelho (Quebonafide);0.8795091642414147;6;0.012048192771084338;0.01990049751243781;0.018488180629699407;1.8230006579781957e-06
1348;Peer Gynt, Op. 23: IV. In the Hall of the Mountain King (Edvard Grieg);0.8595081978539794;3;0.009036144578313253;0.0136986301369863;0.012905528496305996;2.816129877575775e-07
1349;Pemex (Shakewell);0.9939451349863669;63;0.07530120481927711;0.1937984496124031;0.19401331463697857;0.03012557120045313
1350;Penis Song (Macklemore);0.9486090704647675;21;0.03313253012048193;0.04741379310344827;0.0712168971820396;0.0002624818437410608
1351;Perception (Øfdream);0.8847431605001286;7;0.018072289156626505;0.13636363636363635;0.02391197731081429;3.773680435525698e-05
1352;Perfekt (Wac Toja);0.39284935251730035;1;0.012048192771084338;0.017937219730941704;0.005898638926686191;3.086220368268967e-08
1353;Permanent Midnight (Left Boy);1.0309697848757329;26;0.03313253012048193;0.05188679245283019;0.0866881500796412;0.00046345878367366224
1354;Pet Cheetah (Twenty One Pilots);0.9776889241782618;8;0.012048192771084338;0.024096385542168676;0.023488022202480766;4.099305832428413e-06
1355;Phase 01 - From The Next End (Solar Fields);0.7992268032015571;3;0.0030120481927710845;0.02564102564102564;0.012000402450473832;4.883356902373783e-08
1356;Phase 02 - Broken Radio Echo (Solar Fields);0.8572938548190695;5;0.0030120481927710845;0.02564102564102564;0.018021192143343804;1.1475732329729147e-07
1357;Phase 03 - Singing Machine (Solar Fields);0.9713167050569107;5;0.0030120481927710845;0.02564102564102564;0.014584334910764425;1.3252391589858016e-07
1358;Phase 06 - Dialogue With A River (Solar Fields);1.0;5;0.0030120481927710845;0.02564102564102564;0.015015015015015015;1.425253497178798e-07
1359;Phase 07 - Forgotten (Solar Fields);1.0;5;0.0030120481927710845;0.02564102564102564;0.015015015015015015;1.425253497178798e-07
1360;Phase 09 - Sombrero (Solar Fields);0.9436186516788829;34;0.04819277108433735;0.2318840579710145;0.11334758578725321;0.005489247052010262
1361;Phase 10 - Last Step In Vacuum (Solar Fields);0.9234017444120212;7;0.006024096385542169;0.05128205128205128;0.0249568039030276;1.754781782854953e-06
1362;Phase 11 - Until We Meet The Sky (Solar Fields);1.0;7;0.006024096385542169;0.05128205128205128;0.021021021021021023;1.8887486017011394e-06
1363;Phase 12 - Epilogue (Solar Fields);0.9826503355818161;9;0.006024096385542169;0.05128205128205128;0.026558117177886923;2.6356538789749445e-06
1364;Photosynthesis (Carbon Based Lifeforms);0.9413033730751199;21;0.05421686746987952;0.07563025210084033;0.06501494768987315;0.0010547499760657861
1365;Pie IX (SUUNS);0.899624430220153;17;0.0391566265060241;0.13402061855670103;0.0567330721760457;0.0006733978242116123
1366;Piekło jest w nas (PRO8L3M);0.9742020175322673;44;0.06626506024096386;0.23655913978494625;0.13749998445650619;0.016084626358493708
1367;Pieniądz i Terror (Taco Hemingway);0.9581156287912551;34;0.05120481927710843;0.25;0.10645729208791724;0.006675198079202238
1368;Pies (Young Igi);0.8944817274980469;17;0.05120481927710843;0.08994708994708994;0.05640875758996692;0.0007618578163233518
1369;Pieskie życie (Quebonafide);0.7734639635962943;4;0.012048192771084338;0.01990049751243781;0.013936287632365664;8.160588138219144e-07
1370;Piję wódę i słucham Ich Troje (Kukon);0.9339105983501572;24;0.04216867469879518;0.3684210526315789;0.07852701727869191;0.003842870447031414
1371;Pillars of Creation (From Stellaris Original Game Soundtrack) (Paradox Interactive);1.0;14;0.030120481927710843;0.12048192771084337;0.042042042042042045;0.000313773077256385
1372;Pilot (Jan-Rapowanie);1.0053648313492063;24;0.03313253012048193;0.11578947368421053;0.07245872658372658;0.0008300079484733216
1373;Piniata - Remix (Guzior);0.9055850457294297;12;0.024096385542168676;0.04;0.04079211917700134;4.616274890190795e-05
1374;Piotruś Pan (Reto);0.941200416548329;31;0.07530120481927711;0.12077294685990338;0.09892496870628084;0.0059149678603666435
1375;Pireneje (Taco Hemingway);0.9534852065846668;29;0.04216867469879518;0.20588235294117646;0.09735284391555157;0.003011613705322625
1376;Piroman [Projekt Tymczasem] (Pezet);0.8749782298234003;29;0.060240963855421686;0.1282051282051282;0.09984736556543305;0.0032639990191012666
1377;Piszę tekst (PlanBe);0.9167803163331649;11;0.018072289156626505;0.028708133971291867;0.035790222559552984;1.639973169013559e-05
1378;Piszę to na matmie (Mata);0.9953131406021254;83;0.09036144578313253;0.297029702970297;0.2540589097633053;0.10051502988773549
1379;Pizza sport (Holak);0.8717205852460564;53;0.09337349397590361;0.15422885572139303;0.17539122886332068;0.022680220121349
