;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
7156;Bankroll;['Young Igi'];Young Igi;Trappist;190776;False;['polish hip hop', 'polish trap'];30;0.645;0.574;7.0;-8.219;1.0;0.0317;0.255;0.0;0.14;0.456;131.958;4.0
7157;The Pioneers;['Bloc Party'];Bloc Party;Silent Alarm;215240;False;['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock'];37;0.436;0.953;11.0;-5.222;0.0;0.0581;0.000251;0.0379;0.114;0.599;166.06;4.0
7158;Zakład;['Deys'];Deys;Tape Of The Ninja;237386;False;['polish hip hop'];21;0.686;0.724;4.0;-6.429;0.0;0.0881;0.0904;0.0;0.118;0.198;102.119;4.0
7159;Floating (feat. 21 Savage);['ScHoolboy Q', '21 Savage'];ScHoolboy Q;CrasH Talk;186826;True;['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop'];65;0.906;0.545;11.0;-4.977;0.0;0.344;0.181;0.0;0.091;0.543;139.932;4.0
7160;Supernaut - 2014 Remaster;['Black Sabbath'];Black Sabbath;Vol. 4 (2014 Remaster);271123;False;['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal'];47;0.381;0.817;7.0;-10.454;1.0;0.064;0.000272;0.0017;0.0522;0.645;120.748;4.0
7161;Fine Line;['Harry Styles'];Harry Styles;Fine Line;377960;False;['pop'];79;0.306;0.347;2.0;-8.5;1.0;0.0334;0.172;0.00013;0.0485;0.0511;120.996;4.0
7162;Bombsite A (prod. Remo);['Gimpson', 'Mamiko'];Gimpson;Remofere;167613;False;[];12;0.809;0.774;0.0;-7.205;1.0;0.195;0.116;0.0;0.0898;0.765;120.015;4.0
7163;Freakout;['The Rubens'];The Rubens;LO LA RU;202706;False;['australian indie', 'australian pop'];18;0.576;0.485;0.0;-6.993;1.0;0.0382;0.188;0.00015;0.072;0.124;134.862;4.0
7164;Folge Dem Signal;['Ben Frost'];Ben Frost;Dark: Cycle 2 (Original Music from the Netflix Series);183761;False;['australian experimental', 'compositional ambient', 'drone', 'icelandic classical', 'icelandic experimental', 'mandible', 'soundtrack'];10;0.217;0.503;3.0;-18.21;1.0;0.162;0.0107;0.909;0.0849;0.0815;134.282;4.0
7165;Let Me Follow;['Son Lux'];Son Lux;Original Music from and Inspired By: The Disappearance of Eleanor Rigby (Original Motion Picture Soundtrack);288373;False;['abstract hip hop'];59;0.484;0.218;8.0;-13.423;0.0;0.0305;0.765;0.0304;0.11;0.128;87.983;4.0
7166;Demons (feat. Fivio Foreign & Sosa Geek);['Drake', 'Fivio Foreign', 'Sosa Geek'];Drake;Dark Lane Demo Tapes;204805;True;['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap'];65;0.543;0.766;0.0;-3.387;0.0;0.343;0.423;0.0;0.155;0.729;106.869;3.0
7167;At Night;['Oliver'];Oliver;Full Circle;270693;False;['alternative dance', 'filter house', 'new french touch', 'nu disco'];38;0.735;0.676;8.0;-6.719;0.0;0.03;0.515;0.895;0.219;0.694;109.992;4.0
7168;Плак-Плак;['IC3PEAK'];IC3PEAK;До Свидания;203500;False;['witch house'];61;0.519;0.658;5.0;-8.928;1.0;0.121;0.344;0.0;0.15;0.224;158.275;4.0
7169;Wake Up, You're Dreaming;['Notaker'];Notaker;Genesis;258647;False;['complextro', 'edm', 'electro house', 'future bass', 'gaming edm'];43;0.59;0.529;6.0;-7.878;0.0;0.0349;0.0181;0.794;0.129;0.0675;104.045;4.0
7170;Our Resurrected Teleport;['Valve'];Valve;Half-Life 2 (Original Game Soundtrack);69630;False;[];17;0.199;0.124;2.0;-22.08;1.0;0.0441;0.764;0.865;0.112;0.036;82.441;4.0
7171;Electric Groove;['Lazerhawk'];Lazerhawk;Redline;290402;False;['synthwave'];47;0.656;0.843;6.0;-7.466;0.0;0.0389;0.06;0.85;0.518;0.88;120.022;4.0
7172;Afraid of Love;['TOTO'];TOTO;Toto IV;232000;False;['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'];41;0.676;0.624;4.0;-13.651;1.0;0.0296;0.00791;0.000471;0.441;0.679;128.309;4.0
7173;Anything Could Happen;['Ellie Goulding'];Ellie Goulding;Halcyon;286322;False;['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop'];57;0.702;0.781;0.0;-4.081;1.0;0.03;0.433;0.0;0.135;0.382;102.997;4.0
7174;Mission: Impossible Theme (Cristian Agrillo Remix);['Lorne Balfe'];Lorne Balfe;Mission: Impossible Theme - Remixes;126213;False;['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music'];13;0.603;0.484;7.0;-7.333;1.0;0.0556;0.0416;0.652;0.166;0.367;120.23;4.0
7175;Beautiful Light;['Uppermost'];Uppermost;Origins (2011-2016);263520;False;['complextro', 'electro house', 'new french touch', 'vapor twitch'];51;0.565;0.806;8.0;-6.521;1.0;0.109;0.442;4.63e-06;0.0633;0.628;91.976;4.0
7176;Rust;['El Huervo'];El Huervo;Rust B/W Ghost;297473;False;[];47;0.745;0.762;1.0;-10.206;1.0;0.196;0.403;0.862;0.139;0.311;92.493;4.0
7177;The Blinded Forest;['Gareth Coker'];Gareth Coker;Ori and the Blind Forest (Original Soundtrack);208170;False;['video game music'];47;0.15;0.0765;10.0;-23.706;0.0;0.0361;0.834;0.683;0.124;0.0387;143.909;4.0
7178;Kokaina;['Young Igi'];Young Igi;Kokaina;193428;True;['polish hip hop', 'polish trap'];14;0.719;0.709;7.0;-6.762;0.0;0.131;0.121;0.0;0.101;0.457;162.063;4.0
7179;Promises, Promises - Single Edit;['Naked Eyes'];Naked Eyes;Best Of;225960;False;['new romantic', 'new wave', 'new wave pop', 'synthpop'];44;0.748;0.747;5.0;-10.852;1.0;0.051;0.158;0.000478;0.0642;0.77;115.708;4.0
7180;Murder She Wrote;['Tay-K'];Tay-K;Aggcess Granted;126344;True;['cali rap', 'dfw rap', 'rap', 'trap', 'underground hip hop', 'vapor trap'];67;0.712;0.726;8.0;-7.987;1.0;0.273;0.156;0.0;0.292;0.771;146.766;4.0
7181;The Part Where He Kills You;['Aperture Science Psychoacoustic Laboratories'];Aperture Science Psychoacoustic Laboratories;Portal 2: Songs to Test By (Collectors Edition);204906;False;['video game music'];27;0.497;0.856;6.0;-6.435;1.0;0.0481;0.00137;0.213;0.124;0.158;140.12;4.0
7182;Bon Appétit;['Katy Perry', 'Migos'];Katy Perry;Witness (Deluxe);227813;False;['dance pop', 'pop', 'post-teen pop'];68;0.8;0.795;6.0;-5.835;1.0;0.0626;0.131;9.02e-05;0.221;0.528;106.031;4.0
7183;BOOGIE;['BROCKHAMPTON'];BROCKHAMPTON;SATURATION III;193154;True;['boy band', 'hip hop', 'pop', 'rap'];64;0.604;0.933;1.0;-3.034;1.0;0.214;0.0137;0.0;0.37;0.28;110.029;4.0
7184;Double Edged Sword;['líue'];líue;Year 16-17 Collection;206605;True;['weirdcore'];18;0.487;0.764;0.0;-8.995;1.0;0.0524;0.0348;0.801;0.282;0.117;74.996;4.0
7185;Biuro rzeczy znalezionych;['KALINA'];KALINA;Czyste Szumienie;216461;False;[];5;0.624;0.863;8.0;-6.574;1.0;0.0915;0.073;0.0;0.116;0.631;120.067;4.0
7186;September Song - Forest Mix;['Hinkstep'];Hinkstep;Elven Forest;473053;False;['ambient psychill', 'psychill'];32;0.6;0.402;5.0;-13.011;0.0;0.03;0.536;0.858;0.115;0.0945;139.981;4.0
7187;Every Hour;['Kanye West', 'Sunday Service Choir'];Kanye West;JESUS IS KING;112239;False;['chicago rap', 'rap'];58;0.588;0.793;7.0;-6.23;1.0;0.0794;0.466;0.000647;0.913;0.694;76.997;5.0
7188;Ballin/ballout;['CatchUp', 'Kaz Bałagane', 'Prometh'];CatchUp;Perypetie;180283;False;['polish alternative rap', 'polish hip hop'];52;0.802;0.638;7.0;-7.163;1.0;0.0945;0.0288;2.42e-05;0.328;0.312;106.028;4.0
7189;Fools;['The Temper Trap'];The Temper Trap;Conditions;272813;False;['alternative dance', 'indie rock', 'modern rock', 'pop rock'];30;0.562;0.492;2.0;-8.888;1.0;0.0303;0.12;0.785;0.0895;0.0749;128.018;4.0
7190;Dumper king;['Zedline'];Zedline;Dumper King;130925;False;[];1;0.785;0.47;8.0;-14.731;1.0;0.0575;0.0196;0.758;0.26;0.142;94.996;4.0
